S/O,Date,Customer,Item,Specific Item,Quantity,Packaging,Price,Outstanding Quantity,Outstanding Weight Left,Outstanding/MT,Dealt Quantity,Dealt Quantity/ton,Price: USD/tonne,Last Updated,COUNTRY
S/O2110-029,7/7/22,LEGIN MARKETING SERVICES PTE LTD,TOL ACC,TOLUENE ASTM RF GRADE,1,180-DR,"1,500.00/180-DR",1,180,0.18,180,0.18,,11/11/24,
S/O2304-188,15/7/23,LEGIN MARKETING SERVICES PTE LTD,OCTANE-80,OCTANE-80-BLEND,1,140-DR,"1,500.00/140-DR",1,140,0.14,140,0.14,,11/11/24,
S/O2309-209,30/10/24,LEO LOGISTICS PRIVATE LIMITED,ISOOCTANE,ISO-OCTANE ASTM,20,140-DR,"1,430.00/140-DR",6,840,0.84,2800,2.8,,11/11/24,
S/O2312-088,3/7/24,LEA TAT CHEMICALS PTE LTD,DAA,DIACETONE ALCOHOL,40,190-DR,2.20/KG,22,4180,4.18,7600,7.6,,11/11/24,
S/O2401-160,22/4/24,VANCE CHEMICALS PTE LTD,ALIPAX D80E,ALIPAX D80,24,160-DR,2.02/KG,16,2560,2.56,3840,3.84,,11/11/24,
S/O2401-256,18/10/24,LEO LOGISTICS PRIVATE LIMITED,OCTANE-80,OCTANE-80-BLEND,10,140-DR,"1,500.00/140-DR",2,280,0.28,1400,1.4,,11/11/24,
S/O2402-104,4/3/24,NEWEDGE CHEM (S) PTE. LTD.,IPA,ISOPROPYL ALCOHOL,60,162-DR,1.33/KG,30,4860,4.86,9720,9.72,1220,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,ISOOCTANE,ISO-OCTANE ASTM,11,140-DR,"1,500.00/140-DR",11,1540,1.54,1540,1.54,,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,OCTANE-80,OCTANE-80-BLEND,3,140-DR,"1,500.00/140-DR",2,280,0.28,420,0.42,,11/11/24,
S/O2403-104,30/10/24,LEO LOGISTICS PRIVATE LIMITED,HEP ASTM,N-HEPTANE ASTM,1,139-DR,"1,500.00/139-DR",1,139,0.139,139,0.139,,11/11/24,
